지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa)
108,서울,2018-01-01,-1.3,-5.1,739,3.8,1538,,,,,,,7,320,1633,3.8,290,1634,1.4,1188,290,-13.9,19,1203,39.1,2.1
108,서울,2018-01-02,-1.8,-4.3,2348,1.8,1345,,,,,,,8.5,270,1256,4.9,290,1355,1.8,1573,290,-14.1,19,1357,42,2.2
108,서울,2018-01-03,-4.7,-7.1,804,-.4,1550,,,,,,,6.6,320,1340,3.5,270,1108,2.2,1943,290,-15.8,28,1539,42.3,1.8
108,서울,2018-01-04,-4.7,-8.7,751,-.7,1519,,,,,,,5.8,320,547,3.5,320,550,1.4,1168,290,-15.6,31,1312,43,1.8
108,서울,2018-01-05,-3,-5.6,306,1.6,1530,,,,,,,8,250,1443,3.6,270,1712,1.7,1450,290,-12.5,32,1504,48.4,2.4
108,서울,2018-01-06,-2.8,-6.8,628,2.9,1539,,,,,,,5.9,290,1410,3.1,290,1434,1.5,1304,290,-13.3,26,1310,45.8,2.2
108,서울,2018-01-07,-.8,-5.7,524,2.8,1501,,,,,,,5.5,110,857,2.5,160,951,.8,732,90,-12.3,30,1425,42.1,2.4
108,서울,2018-01-08,1.3,-1.2,2352,4,1507,4.5,,,,,.9,11.5,270,2058,7.1,290,2107,1.8,1540,270,-8.1,30,1149,51.9,3.4
108,서울,2018-01-09,-4.2,-6.1,837,-1.2,1,5.58,,,,,.5,11,290,1442,6.1,270,1333,2.9,2503,290,-11.1,43,1224,59.4,2.7
108,서울,2018-01-10,-7.5,-10.3,2335,-4.8,1412,2.08,,,,,.3,11.7,320,1202,6.1,320,1510,3,2554,290,-16.1,29,1555,52,1.8
108,서울,2018-01-11,-11.1,-13.6,2344,-7.4,1358,,,,,,,9.2,290,1440,4.9,320,1045,2.8,2426,290,-19.6,37,1253,49.8,1.3
108,서울,2018-01-12,-10.2,-15.3,811,-5.4,1543,2.08,,,,,0,6.4,270,1211,3.6,320,1218,1.7,1486,290,-22.9,20,1601,35.4,1
108,서울,2018-01-13,-4.4,-6.6,241,-1.2,1540,7.83,,,,,.4,4.2,20,150,1.7,290,2,.8,710,50,-9.8,39,1,67.3,3
108,서울,2018-01-14,.6,-4.4,1,5.4,1601,,,,,,,5.3,90,245,2.8,160,1835,1.2,995,90,-5.6,48,1558,64.1,4
108,서울,2018-01-15,4.7,1.8,2359,7.7,1548,1.25,,,,,.2,7.7,320,553,3.3,340,1250,1.4,1228,290,-2,33,1541,63.9,5.4
108,서울,2018-01-16,3.5,.1,240,6.8,1324,1.25,,,,,0,4.4,20,1912,2.2,200,1534,.7,615,20,-3.9,35,1344,59.1,4.6
108,서울,2018-01-17,4.5,2.4,703,8.7,1217,,,,,,,6.9,250,1659,3.7,290,1324,1.2,1051,290,-1.8,49,1107,64.1,5.4
108,서울,2018-01-18,2.1,.3,2349,4.5,1446,.58,,,,,0,6.4,290,1304,3.8,290,1307,1.9,1610,290,-5.5,33,1451,59.6,4.3
108,서울,2018-01-19,1,-2.5,756,5.5,1501,,,,,,,7.6,270,1505,3.7,320,1310,1.6,1425,290,-10.6,20,1038,43,2.8
108,서울,2018-01-20,2.2,-1,137,6.9,1544,,,,,,,6.8,340,1416,3.6,290,1425,1.6,1361,270,-5.3,42,1558,57.6,4.2
108,서울,2018-01-21,.4,-3.7,757,5.5,1404,,,,,,,5.2,180,1258,3.2,290,1507,1,904,290,-13.6,16,1550,36.6,2.2
108,서울,2018-01-22,.2,-5.3,2358,4,1303,6,,,,,3.3,9.3,320,1820,5.1,320,1823,1.5,1334,290,-8.8,25,1104,56.5,3.5
108,서울,2018-01-23,-11.7,-14.6,2352,-5.3,1,,,,,,,10.5,360,1104,5.4,290,815,3.7,3162,290,-22.4,24,1104,42,1.1
108,서울,2018-01-24,-14.2,-16.3,746,-10.7,1422,,,,,,,12,360,1319,7.2,320,1237,3.4,2922,290,-27.6,23,1632,31.6,.7
108,서울,2018-01-25,-14,-16.4,720,-9.5,1517,,,,,,,9.5,320,1856,4.8,290,1250,2.8,2378,340,-27,22,1342,32.6,.7
108,서울,2018-01-26,-14.8,-17.8,733,-10.7,1603,,,,,,,7.9,320,228,4.6,320,830,2.6,2281,320,-27,26,1402,34.9,.7
108,서울,2018-01-27,-9.9,-15.9,738,-3.5,1550,,,,,,,5.8,180,1222,3.4,270,2108,1.4,1252,270,-22,23,1350,37.4,1.1
108,서울,2018-01-28,-6.3,-9.3,2358,-1.2,1408,,,,,,,10.3,320,1916,5.6,320,1656,2.6,2220,290,-19.2,19,1355,36,1.4
108,서울,2018-01-29,-8.5,-11.6,809,-4.7,1510,,,,,,,12.2,290,1229,6.2,320,1133,2.7,2307,270,-21.5,21,1218,35,1.1
108,서울,2018-01-30,-5.3,-11.4,631,-.8,1419,8.67,,,,,2.9,7.9,270,1327,3.8,230,1423,1.3,1129,200,-12,26,1046,62,2.8
108,서울,2018-01-31,-2.6,-5.2,2354,0,1610,.67,,,,,0,6.1,290,1200,3.4,340,1956,1.6,1419,290,-11.3,29,1505,54.5,2.7
108,서울,2018-02-01,-4,-8.8,644,1.2,1601,,,,,,,6.7,290,1400,3.9,320,1436,1.6,1423,290,-15,22,1401,44.1,1.9
108,서울,2018-02-02,-2.4,-7.6,723,3.8,1440,,,,,,,6.6,270,1545,3.6,270,1551,1.6,1387,290,-11.7,24,1544,51.1,2.5
108,서울,2018-02-03,-7.3,-10.4,2347,-2.1,17,3.83,,,,,.5,10.5,320,556,5.7,320,1317,3.8,3275,290,-17.1,29,1502,47,1.7
108,서울,2018-02-04,-9.5,-12.8,753,-5.2,1607,,,,,,,9.6,320,1632,5.6,320,1412,3.1,2636,290,-20.7,26,1612,40.9,1.2
108,서울,2018-02-05,-9.4,-11.8,404,-5.1,1609,,,,,,,10.1,320,1357,5.6,320,1445,3,2598,290,-21.5,23,1357,37.8,1.1
108,서울,2018-02-06,-10.1,-12.8,745,-5.8,1516,,,,,,,10,340,1918,4.9,290,1402,3.1,2713,290,-22.4,23,1556,36.5,1
108,서울,2018-02-07,-8,-13.4,650,-1.6,1547,,,,,,,6.9,320,1224,3.3,270,1100,1.5,1317,290,-20.1,17,1640,39.8,1.2
108,서울,2018-02-08,-4.4,-9.7,722,2,1548,,,,,,,5.8,290,1426,3,270,1413,1.2,1032,20,-15.7,23,1409,43.3,1.8
108,서울,2018-02-09,.4,-5.3,227,6.1,1549,,,,,,,5.9,250,1638,3,250,1642,1.1,955,230,-11.1,23,1442,43.9,2.8
108,서울,2018-02-10,-.5,-6.9,2327,3.2,1131,,,,,,,11.4,290,1507,6.3,320,1758,3,2572,290,-12.1,13,1843,47.4,3.1
108,서울,2018-02-11,-6.1,-9.5,722,-2.2,1350,1,,,,,0,9.3,270,1410,5.1,290,1339,2.7,2300,270,-17.3,20,950,42.5,1.7
108,서울,2018-02-12,-5.8,-9.6,538,-1.8,1422,2.17,,,,,0,10.6,180,1513,5.2,290,1433,2.7,2370,270,-17.5,23,1000,40.8,1.7
108,서울,2018-02-13,-.8,-7.4,715,4.3,1521,,,,,,,12.2,230,1603,5.6,250,1455,2.7,2315,200,-9.1,37,1210,54.5,3.2
108,서울,2018-02-14,3.5,-.7,2352,8.7,1459,,,,,,,10,200,1152,5.4,320,2142,2.6,2247,250,-6.3,27,2030,51,4.1
108,서울,2018-02-15,-.7,-3.7,850,4,1448,,,,,,,7.9,270,1436,4.4,320,1357,2.5,2157,290,-17.4,14,1354,28,1.6
108,서울,2018-02-16,-1.1,-5.5,741,4.9,1419,,,,,,,9.7,250,1425,5.5,320,2222,2.1,1853,270,-13.7,15,1308,40.1,2.3
108,서울,2018-02-17,-3,-7.1,734,1.4,1601,,,,,,,11,250,1545,5.5,290,1516,2.9,2506,290,-20.6,14,1432,25.6,1.2
108,서울,2018-02-18,-.4,-4.9,729,5.2,1450,,,,,,,6.2,290,1613,3.5,270,1716,1.3,1083,270,-17.7,15,1435,26.9,1.6
108,서울,2018-02-19,1.8,-1.9,347,6.8,1526,,,,,,,5.5,270,1535,3,290,1557,1.5,1270,290,-8.2,33,1521,48.6,3.4
108,서울,2018-02-20,.9,-2.4,646,5.5,1445,,,,,,,10,340,1635,5.8,320,1636,2.5,2150,290,-13,17,1446,41,2.5
108,서울,2018-02-21,-.9,-4.5,814,4.4,1503,,,,,,,8.9,270,1414,5.2,290,1423,2.3,1958,290,-17.1,13,1410,31.5,1.7
108,서울,2018-02-22,1.3,-3.9,725,5.4,1212,.67,,,,,.4,10.6,270,1637,5.2,250,1453,2.2,1890,230,-6,41,1023,59,4
108,서울,2018-02-23,4.2,-.3,730,8.6,1431,2.75,,,,,3.7,9.8,180,1907,5,250,1758,1.9,1616,230,1,52,1429,81.1,6.6
