item,g,calorie,carbo,protein,fat,price,pred1,pred2,pred3,pred4
전복 생물,70,0.9,0.051,0.15,0.007,48.78,0.12918825,0.15828322,0.16149758,0.16112919
오징어,57,0.92,0.0308,0.1558,0.0138,16.99,0.13259086,0.15508856,0.15492502,0.15516437
고등어,85,1.67,0,0.1932,0.0936,12.49,0.14888516,0.1501095,0.1554822,0.1639255
주꾸미,120,0.47,0.0126,0.0852,0.0059,23.3,0.09589383,0.10848004,0.0706422,0.16534069
조개,85,0.76,0.028,0.141,0.006,7.25,0.13090486,0.15381169,0.16403587,0.15192696
새우/대하,85,1.06,0.0091,0.2031,0.0173,27.97,0.13269624,0.14278675,0.14380297,0.16025711
명태/동태,90,0.76,0,0.1659,0.0063,7.93,0.15422314,0.12031716,0.11614534,0.13477862
문어,80,0.82,0.022,0.1491,0.0104,34.5,0.12825175,0.16382121,0.16674686,0.16413811
갈치,80,1.43,0,0.1873,0.0701,22.56,0.12777245,0.16417933,0.1669885,0.16427441
굴 생물,90,0.68,0.0391,0.0705,0.0246,18,0.19488285,0.0798627,0.07985411,0.08017046
장어,85,1.07,0,0.1924,0.0293,53.72,0.12610156,0.17324059,0.19061834,0.17331301
삼치,100,1.77,0,0.2025,0.1002,20,0.12798487,0.12911919,0.12883287,0.15056647
꽃게,100,1.01,0,0.2003,0.0176,40.33,0.10001978,0.14919149,0.14893449,0.18195868
대게/킹크랩,120,0.7,0.0003,0.1445,0.0086,69.92,0.18299719,0.14582718,0.14595713,0.14662098
