item,g,calorie,carbo,protein,fat,price,pred1,pred2,pred3,pred4
포도/거봉/체리,100,0.67,0.1761,0.0083,0.0019,16.8,0.11269132,0.13694752,0.16681263,0.17837657
미숫가루/곡물가루,50,4.15,0.8,0.1,0.06,10,0.10841571,0.21485178,0.21407519,0.2151051
견과류 호두,20,6.88,0.07,0.155,0.7199,13.2,0.13619176,0.12609769,0.11536879,0.13946861
딸기/복분자/블루베리,100,0.55,0.1257,0.01,0.008,42,0.17085311,0.13526456,0.09810979,0.08059223
감귤/한라봉/오렌지,100,0.5,0.128,0.01,0.001,11.8,0.15421461,0.13075163,0.10599002,0.1072748
바나나/파인애플/망고,100,0.84,0.219,0.011,0.001,3.83,0.12513816,0.15182859,0.1480847,0.12695976
참외/메론/수박,100,0.39,0.094,0.012,0.0018,7.9,0.07471735,0.19783484,0.30375347,0.11435335
키위/참다래,100,0.64,0.148,0.008,0.01,11.27,0.13087501,0.144404,0.15086942,0.13916022
견과류 마카다미아,20,7.2,0.122,0.083,0.767,38.5,0.14835443,0.10416995,0.1045385,0.18099019
감/홍시,100,0.58,0.1575,0.004,0.0004,11.94,0.12907298,0.12091494,0.12102264,0.1425829
