item,g,calorie,carbo,protein,fat,price,pred1,pred2,pred3,pred4
포도/거봉/체리,100,0.67,0.1761,0.0083,0.0019,16.8,0.42671197,0.81387051,0.45449833,0.48207819
미숫가루/곡물가루,50,4.15,0.8,0.1,0.06,10,0.12710131,0.20799954,0.22649849,0.19319467
딸기/복분자/블루베리,100,0.55,0.1257,0.01,0.008,42,0.24121817,0.11790677,0.11688737,0.08675778
감귤/한라봉/오렌지,100,0.5,0.128,0.01,0.001,11.8,1.41631294,0.97338574,-0.26338794,0.44783041
바나나/파인애플/망고,100,0.84,0.219,0.011,0.001,3.83,0.13782296,0.15767796,0.15118849,0.14391768
견과류 밤,50,1.51,0.334,0.033,0.005,20.7,0.61877276,0.48684276,0.26038067,0.39719633
레몬/자몽,100,0.28,0.093,0.0071,0.0008,6.95,0.04751669,0.32622066,0.38888893,0.26005859
참외/메론/수박,100,0.39,0.094,0.012,0.0018,7.9,0.07947478,0.20737332,0.32363755,0.13440636
키위/참다래,100,0.64,0.148,0.008,0.01,11.27,0.10455199,0.12429068,0.11953769,0.12207654
감/홍시,100,0.58,0.1575,0.004,0.0004,11.94,0.12514623,0.13195647,0.13954205,0.10010428
